,stock1,stock2,p_value
4,APOLLOHOSP,SUNPHARMA,0.0011092911523809723
22,COALINDIA,HEROMOTOCO,0.0028461857765082208
31,JSWSTEEL,SHRIRAMFIN,0.004146915965024314
10,BPCL,CIPLA,0.004281076313916542
14,BHARTIARTL,ICICIBANK,0.004594956003069571
15,BHARTIARTL,JSWSTEEL,0.00546045491937585
26,DRREDDY,TCS,0.005630230186917605
19,CIPLA,POWERGRID,0.007756706256540432
5,AXISBANK,BRITANNIA,0.008645858169840672
1,ADANIENT,TATAMOTORS,0.010556201719926373
18,CIPLA,NTPC,0.012143954084166884
29,ICICIBANK,JSWSTEEL,0.012705498745462292
39,LT,TCS,0.012777610126132918
20,CIPLA,SHRIRAMFIN,0.014348067653078646
35,LT,POWERGRID,0.01911828024842387
25,DRREDDY,ONGC,0.019269675870742707
16,BRITANNIA,SBILIFE,0.019837873719825063
43,POWERGRID,SBIN,0.01986371013689299
7,BAJAJ-AUTO,CIPLA,0.019905269406069848
27,EICHERMOT,JSWSTEEL,0.02013866203940263
0,ADANIENT,NESTLEIND,0.020682719962584684
44,RELIANCE,TATACONSUM,0.0227117495172605
13,BHARTIARTL,EICHERMOT,0.02330125227108387
24,COALINDIA,RELIANCE,0.025440498010824358
23,COALINDIA,ONGC,0.028286871330422868
6,BAJAJ-AUTO,BPCL,0.028516035774184312
9,BAJAJFINSV,KOTAKBANK,0.029852216027494
41,LT,TATAMOTORS,0.03134524943526422
36,LT,RELIANCE,0.03239842718686245
30,JSWSTEEL,M&M,0.0324886067253542
11,BPCL,HINDALCO,0.03302454740582657
8,BAJFINANCE,KOTAKBANK,0.03402340868239822
37,LT,SBIN,0.0342622226376917
2,ADANIPORTS,BPCL,0.03477286919802328
38,LT,SUNPHARMA,0.035489279292769765
28,HDFCBANK,INDUSINDBK,0.03607835443334576
33,LT,NTPC,0.03744501503450752
3,ADANIPORTS,COALINDIA,0.0409596159084468
17,CIPLA,GRASIM,0.042666366439908
40,LT,TATACONSUM,0.04456968439311411
21,COALINDIA,DRREDDY,0.045284056216903734
12,BPCL,ONGC,0.0461908409431823
42,LT,TECHM,0.04899830402814641
32,LT,M&M,0.04966502057843393
34,LT,ONGC,0.04988803064842075
